"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
14,0,26,1,0,0,/videos/375885261,"Představení kandidátů na děkana - Ondřej Zach",3121,2019-11-27T11:24:52+00:00,Array,14,50,782,10959,43694,11
13,2,30,0,0,0,,3,2,2,34,8023,1
13,0,26,4,0,0,/videos/296606969,"Jan Švankmajer |  Petr Michal, Vojtěch Dvořák | 2019",328,2018-10-23T10:05:34+00:00,Array,20,86,284,3702,4264,12
13,0,18,0,0,0,/videos/391453837,"Love is just a death away | Bára Anna Stejskalová | 2020",666,2020-02-14T10:28:53+00:00,Array,13,65,336,4375,8658,12
12,0,33,5,0,0,/videos/352914017,"Playing - Official trailer",49,2019-08-09T11:45:16+00:00,Array,14,60,22,266,588,11
11,0,16,0,0,0,/videos/417959647,"Fake-up Fix 3/3",194,2020-05-13T09:25:58+00:00,Array,10,35,37,415,2141,6
10,0,20,5,0,0,/videos/344068976,"Medvědění | Daniela Hýbnerová | 2018",92,2019-06-24T11:30:40+00:00,Array,13,93,87,874,930,10
10,0,18,3,0,0,/videos/384075591,"Must Be Painful | David Semler | 2020",871,2020-01-10T20:08:59+00:00,Array,6,27,190,1901,8713,6
10,0,29,0,0,0,/videos/361025776,"THE CALL OF THE WILD - Official trailer",80,2019-09-19T11:29:05+00:00,Array,10,49,19,199,800,7
10,0,18,0,0,0,/videos/375885728,"Představení kandidátů na děkana - Jan Štern",2571,2019-11-27T11:27:34+00:00,Array,10,10,106,1065,25713,8
10,0,19,0,0,0,/videos/388998401,"The Pit | Markéta Smolíková Kubátová | 2019",533,2020-02-03T13:24:25+00:00,Array,10,64,309,3097,5337,9
9,0,16,2,0,0,/videos/402168208,"Anthill | Marek Náprstek | 2020",756,2020-03-30T12:57:20+00:00,Array,13,66,450,4051,6804,9
9,0,12,3,0,0,/videos/336209508,"Swim test | Šimon Štefanides | 2019",855,2019-05-14T21:24:05+00:00,Array,7,84,721,6496,7704,7
9,0,20,1,0,0,/videos/375884980,"Představení kandidátů na děkana - Čestmír Kopecký",2025,2019-11-27T11:23:16+00:00,Array,9,39,351,3165,18229,7
9,0,23,3,0,0,/videos/376671382,"Daily Manure | Nikola Krutilová | 2019",1436,2019-12-01T18:45:19+00:00,Array,11,73,1054,9487,12924,8
9,1,31,2,0,0,/videos/249630981,"The Fruits of Clouds - teaser",43,2018-01-04T08:11:57+00:00,Array,13,58,22,203,393,9
8,0,38,3,0,0,/videos/325421845,"The Kite - Official trailer",44,2019-03-20T12:51:09+00:00,Array,14,65,14,118,355,7
8,0,36,1,0,0,/videos/368249326,"2019 Student Academy Awards: Daria Kashcheeva - International Animation Gold Medal",254,2019-10-23T11:25:06+00:00,Array,11,59,37,300,2032,6
8,0,29,2,0,0,/videos/303276924,"JailBreak - Official trailer",39,2018-11-28T13:54:19+00:00,Array,10,56,13,110,312,6
8,0,15,0,0,0,/videos/297262513,"Sugar - Official trailer",77,2018-10-26T08:18:47+00:00,Array,7,68,39,319,621,6
7,0,11,3,0,0,/videos/292701041,"Plus One | Myroslava Klochko | 2019",1403,2018-10-01T12:16:52+00:00,Array,4,56,677,4744,9828,4
7,0,23,4,0,0,/videos/230893133,"FAMU Forever ❤",15,2017-08-24T08:13:29+00:00,Array,11,62,8,59,110,7
7,0,10,1,0,0,/videos/417960107,"Fake-up Fix 2/3",205,2020-05-13T09:27:46+00:00,Array,8,33,48,340,1440,5
6,0,7,0,0,0,/videos/269945196,"Woo-Hoo! | David Stumpf | 2018",399,2018-05-15T19:59:16+00:00,Array,4,40,161,967,2399,4
6,0,12,2,0,0,/videos/303276524,"Narkissos | Nora Štrbová | 2018",184,2018-11-28T13:52:05+00:00,Array,7,77,119,715,1104,5
6,0,11,1,0,0,/videos/293908245,"Apart | Diana Cam Van Nguyen | 2018",592,2018-10-08T09:22:14+00:00,Array,6,32,161,967,3557,5
6,0,10,2,0,0,/videos/268881206,"Woo-Hoo! - Official trailer",46,2018-05-09T22:31:07+00:00,Array,7,86,39,239,276,6
6,0,25,0,0,0,/videos/303276266,"What would you like to see - Official trailer",111,2018-11-28T13:50:31+00:00,Array,7,34,19,117,668,4
5,0,20,2,0,0,/videos/216971549,"Atlantis, 2003 - Official Trailer",50,2017-05-11T07:54:49+00:00,Array,6,61,31,157,255,5
5,0,17,1,0,0,/videos/243002909,"Místo - Official trailer",81,2017-11-15T20:56:09+00:00,Array,6,50,33,165,408,5
5,0,19,0,0,0,/videos/259777960,"What we did before we drank cocoa together | Aramisova | 2015",1983,2018-03-12T23:13:17+00:00,Array,11,42,846,4230,9920,5
5,0,8,1,0,0,/videos/379756699,"Mistake | Petr Mischinger | 2019",66,2019-12-16T13:40:48+00:00,Array,6,70,37,185,330,5
5,0,7,1,0,0,/videos/393916283,"The Next One | Dominik György | 2020",905,2020-02-26T12:52:57+00:00,Array,4,77,699,3498,4530,4
4,0,15,1,0,0,/videos/231287798,"Imprisoned - Official trailer",54,2017-08-27T18:32:12+00:00,Array,5,94,38,155,219,4
4,0,4,1,0,0,/videos/300987112,"Frontier | Damián Vondrášek | 2020",1713,2018-11-15T13:45:44+00:00,Array,3,62,800,3200,6852,3
4,0,7,0,0,0,/videos/259301504,"Friendly sport meeting - Official teaser",43,2018-03-09T09:15:23+00:00,Array,4,48,21,86,176,3
3,0,8,0,0,0,/videos/310129934,"The call of the wild | Karolína Peroutková | 2019",2400,2019-01-08T15:00:29+00:00,Array,5,69,1670,5011,7200,3
3,0,3,0,0,0,/videos/222332765,"Afterthoughts | Violette Deffontaines | 2017",972,2017-06-20T10:27:22+00:00,Array,2,6,42,128,2916,2
3,0,7,3,0,0,/videos/278028306,"Sugar and salt | Adam Martinec | 2018",1166,2018-07-02T18:12:21+00:00,Array,4,99,1165,3495,3498,3
3,0,9,0,0,0,/videos/253453503,"Kalado - Official trailer",107,2018-01-30T16:16:14+00:00,Array,3,35,25,77,321,2
3,0,5,0,0,0,/videos/234844681,"Built to last | Haruna Honcoop | 2017",3468,2017-09-21T13:26:06+00:00,Array,3,96,3339,10018,10407,2
3,0,6,0,0,0,/videos/393934128,"Touching | Dominik György | 2020",2373,2020-02-26T14:25:54+00:00,Array,3,47,757,2272,7122,3
3,0,16,0,0,0,/videos/218003026,"The Nettle - Official trailer",69,2017-05-18T14:00:52+00:00,Array,5,64,45,135,210,3
3,0,11,0,0,0,/videos/251779002,"Komplex epopeje - Official trailer",88,2018-01-19T09:35:46+00:00,Array,3,36,21,64,265,2
3,0,13,0,0,0,/videos/286180292,"The Next Stop - Official trailer",122,2018-08-22T13:56:32+00:00,Array,6,38,31,95,366,3
2,0,7,0,0,0,/videos/275040093,"David - Official trailer",105,2018-06-14T09:39:33+00:00,Array,3,93,98,196,210,2
2,0,5,0,0,0,/videos/290913189,"Days off | Filip Blažek | 2018",647,2018-09-20T14:20:54+00:00,Array,2,17,113,227,1296,2
2,0,5,0,0,0,/videos/305464731,"Den žen | Evgeny Terpugov | 2018",346,2018-12-10T11:02:10+00:00,Array,2,49,172,344,693,1
2,0,2,0,0,0,/videos/226814403,"Our shells | Violette Deffontaines | 2017",537,2017-07-24T21:15:29+00:00,Array,1,0,0,0,1074,1
2,0,6,0,0,0,/videos/253453358,"Kalado | Tereza Tara | 2017",1785,2018-01-30T16:15:37+00:00,Array,4,64,575,1150,3570,2
2,0,4,0,0,0,/videos/373470382,"Sněžka | Elvira Dulskaia | 2019   [CZ]",1596,2019-11-15T19:30:57+00:00,Array,2,31,502,1005,3194,2
2,0,7,0,0,0,/videos/293134095,"The wife - Official trailer",39,2018-10-03T12:36:13+00:00,Array,3,92,18,37,79,2
2,0,7,1,0,0,/videos/286180213,"Sugar and Salt - Official trailer",37,2018-08-22T13:56:07+00:00,Array,2,97,18,36,74,2
