# ----------------------------------------
# Všechny údaje o webu
# Přehled publika
# 20200501-20200531
# ----------------------------------------

Index hodiny,Časové období,Segment,Uživatelé
000044,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000044,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000044,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000044,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000045,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000045,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000045,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000045,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000046,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000046,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000046,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000046,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000047,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000047,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000047,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000047,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000048,1.5.2020 - 31.5.2020,Všichni uživatelé,3
000048,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000048,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000048,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000049,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000049,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000049,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000049,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000050,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000050,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000050,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000050,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000051,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000051,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000051,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000051,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000052,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000052,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000052,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000052,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000053,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000053,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000053,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000053,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000054,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000054,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000054,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000054,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000055,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000055,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000055,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000055,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000056,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000056,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000056,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000056,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000057,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000057,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000057,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000057,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000058,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000058,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000058,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000058,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000059,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000059,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000059,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000059,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000060,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000060,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000060,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000060,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000061,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000061,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000061,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000061,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000062,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000062,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000062,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000062,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000063,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000063,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000063,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000063,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000064,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000064,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000064,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000064,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000065,1.5.2020 - 31.5.2020,Všichni uživatelé,3
000065,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000065,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000065,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,3
000066,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000066,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000066,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000066,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000067,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000067,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000067,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000067,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000068,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000068,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000068,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000068,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000069,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000069,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000069,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000069,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000070,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000070,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000070,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000070,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000071,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000071,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000071,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000071,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000072,1.5.2020 - 31.5.2020,Všichni uživatelé,3
